AOA,CD
-14.916013369180597,0.0659250550120199
-14.813543746015084,0.1154885624018648
-14.634495261939676,0.039739166436915
-14.258083410684968,0.0177355038382338
-14.159675083559552,0.1361559913614556
-13.72667844420773,0.1421962487810221
-13.538945635537708,-0.0077186444261491
-13.293681804855906,0.1444821661184154
-12.860685165504083,0.1447554823217994
-12.42768852615226,0.1437864521461652
-11.994691886800435,0.1415502286639327
-11.561695247448611,0.1384940565715482
-11.128698608096787,0.1353136498412619
-11.128698608096787,-0.0459819572488447
-10.695701968744968,0.1305430397458326
-10.262705329393144,0.1257475827228228
-9.824085357062724,0.120588295688815
-9.396712050689494,-0.0515352455630556
-9.101487069313254,0.111182313775215
-8.688172095386513,0.1055718775275694
-8.333902117735022,0.099736438546835
-7.92058714380828,0.0940453878230397
-7.6647254932822015,-0.0464167784815012
-7.507272169881539,0.0881790282213165
-5.932738935874909,-0.0336399361657331
-4.61860927518476,-0.0209849924519407
-4.552398134062429,0.0466432476161456
-3.436447704460232,-0.0062434377386535
-1.7000231244570865,0.0115818699061623
-0.505230258652059,0.0286311738990173
-0.06760263920021,-0.0027997718947182
1.6643839182070828,-0.0098172541556288
2.3335605426598995,0.0608225609553385
3.396370475614376,-0.0038902759385229
4.065547100067192,0.0664379665885002
4.498543739419016,0.0638538861201427
4.550208111159861,0.0160708780090524
4.970903709621005,0.0410098969797315
-14.49977365323676,0.0322855859901211
-14.545043005885017,0.1290974405029186
-14.680851063829786,0.122810956443646
-14.997736532367586,0.0989223170184103
-14.907197827071071,0.1077233947013919
-14.95246717971933,0.0775482712168836
-15.043005885015845,0.0844634036820833
-14.7713897691263,0.0498877413560843
-14.861928474422816,0.0561742254153568
-14.409234947940243,0.024741805118994
-13.775464010864644,-0.0010327795240234
-14.00181077410593,0.0065110013471035
-12.8700769578995,-0.024292770543332
-13.23223177908556,-0.0167489896722049
-11.693073789044815,-0.0412662775033678
-12.055228610230872,-0.0374943870678042
-12.41738343141693,-0.0312079030085318
-9.972838388411043,-0.0519533004041311
-10.516070620190131,-0.0494387067804221
-8.116794929832501,-0.048810058374495
-8.660027161611588,-0.051324651998204
-6.7587143503847855,-0.0412662775033678
-7.211407876867359,-0.0437808711270769
-6.306020823902216,-0.0368657386618771
-5.49117247623359,-0.0299506061966772
-4.947940244454504,-0.0249214189492592
-3.861475780896328,-0.0117198024247868
-4.314169307378901,-0.0167489896722049
-2.7297419646899,0.0008531656937582
-2.231779085559072,0.0065110013471035
-1.1453146220008996,0.0203412662775032
-1.552738795835218,0.0153120790300852
-0.1041195110909853,0.0341715312079028
0.393843368039839,0.0398293668612481
0.6654594839293821,0.0436012572968117
1.027614305115442,0.0480017961383025
1.4350384789497532,0.0524023349797933
1.9330013580805847,0.0574315222272113
3.653236758714357,0.0668612483161201
2.974196468990499,0.0649753030983384
4.920778632865556,0.0530309833857205
4.739701222272529,0.0586888190390658
4.966047985513811,0.0467444993264479
4.920778632865556,0.0341715312079028
4.830239927569043,0.0278850471486303
4.694431869624268,0.0215985630893578
4.287007695789956,0.0090255949708126
4.060660932548668,0.005253704535249
3.789044816659125,0.000224517287831
2.159348121321869,-0.0098338572070051
2.6120416478044426,-0.0085765603951505
3.110004526935267,-0.0066906151773687
0.393843368039839,-0.0060619667714414
0.9370755998189252,-0.0085765603951505
-0.4662743322770453,0.000224517287831
-0.8284291534631016,0.0033677593174673
-1.1905839746491615,0.0065110013471035
-2.141240380262559,0.0159407274360123
-2.458125848800357,0.0203412662775032
-2.9560887279311885,0.0259991019308485
-3.4540516070620164,0.0316569375841938
-3.8162064282480728,0.0366861248316119
-4.223630602082388,0.0417153120790299
-4.857401539157987,0.051773686573866
-5.31009506564056,0.0574315222272113
-5.6722498868266165,0.0630893578805567
-6.351290176550474,0.0731477323753927
-5.943866002716156,0.0674898967220474
-6.849253055681302,0.0794342164346653
-7.1661385242191,0.0844634036820833
-9.474875509280212,0.1165244723843735
