AOA	CL	CD	CM	
-14.9589          -1.08275          0.0785399         -0.0261727     
-14.9369          -1.08207          0.07726           -0.02716       
-14.9133          -1.08056          0.0759552         -0.0281602     
-14.8882          -1.07947          0.0746314         -0.0291675     
-14.8615          -1.07796          0.0732829         -0.0301886     
-14.8333          -1.07629          0.0719165         -0.0312168     
-14.8034          -1.07481          0.0705284         -0.0322567     
-14.7721          -1.07266          0.0691213         -0.0333062     
-14.7392          -1.07101          0.0676967         -0.034364      
-14.7047          -1.06864          0.0662521         -0.0354338     
-14.6687          -1.06654          0.0647933         -0.0365098     
-14.6312          -1.06417          0.0633155         -0.037598      
-14.5922          -1.06153          0.0618243         -0.038693      
-14.5516          -1.05914          0.0603175         -0.0397977     
-14.5095          -1.05608          0.0587965         -0.0409116     
-14.4659          -1.05345          0.0572639         -0.0420323     
-14.4208          -1.05024          0.0557168         -0.043164      
-14.3743          -1.04716          0.0541608         -0.0443009     
-14.3262          -1.04394          0.0525919         -0.0454484     
-14.2766          -1.04036          0.0510147         -0.0466021     
-14.2256          -1.03706          0.0494281         -0.0477638     
-14.1731          -1.03314          0.0478326         -0.048934      
-14.1192          -1.02957          0.0462314         -0.0501095     
-14.0638          -1.02553          0.0446216         -0.0512947     
-14.007           -1.02151          0.0430082         -0.0524843     
-13.9487          -1.01745          0.0413883         -0.0536826     
-13.889           -1.01298          0.0397653         -0.0548866     
-13.8279          -1.00881          0.0381393         -0.0560968     
-13.7654          -1.00407          0.0365099         -0.0573144     
-13.7015          -0.999582         0.0348806         -0.0585361     
-13.6362          -0.994755         0.0332488         -0.0597658     
-13.5695          -0.989838         0.0316188         -0.0609992     
-13.5015          -0.984969         0.0299887         -0.0622392     
-13.4321          -0.979671         0.0283607         -0.0634843     
-13.3614          -0.97464          0.0267358         -0.0647336     
-13.2893          -0.969135         0.0251132         -0.0659893     
-13.216           -0.963776         0.0234963         -0.0672478     
-13.1413          -0.958195         0.0218831         -0.0685124     
-13.0653          -0.952456         0.020277          -0.0697796     
-12.988           -0.9468           0.0186761         -0.0710525     
-12.9094          -0.940693         0.0170833         -0.0723285     
-12.8296          -0.934929         0.0154992         -0.0736075     
-12.7486          -0.928606         0.0139227         -0.0748915     
-12.6663          -0.922524         0.0123578         -0.0761763     
-12.5827          -0.916175         0.0108015         -0.0774665     
-12.498           -0.909665         0.00925791        -0.0787575     
-12.4121          -0.903307         0.00772539        -0.0800522     
-12.325           -0.89646          0.00620552        -0.0813492     
-12.2367          -0.889944         0.00469983        -0.0826473     
-12.1472          -0.882953         0.00320684        -0.0839491     
-12.0567          -0.876106         0.0017302         -0.0852505     
-11.965           -0.869101         0.000267527       -0.0865553     
-11.8721          -0.861875         -0.00116847       -0.087877      
-11.7782          -0.85483          -0.00258175       -0.0892114     
-11.6832          -0.847327         -0.00397753       -0.0905478     
-11.5872          -0.840094         -0.00535399       -0.091884      
-11.49            -0.832484         -0.00671264       -0.093223      
-11.3919          -0.824927         -0.00805028       -0.0945608     
-11.2927          -0.817302         -0.00936876       -0.0959008     
-11.1925          -0.80941          -0.0106657        -0.0972401     
-11.0914          -0.801958         -0.0119485        -0.0985796     
-10.9892          -0.794733         -0.0132303        -0.0999197     
-10.8861          -0.787736         -0.0144915        -0.101258      
-10.7821          -0.78047          -0.0157338        -0.102597      
-10.6771          -0.773192         -0.0169542        -0.103935      
-10.5713          -0.765943         -0.0181544        -0.105272      
-10.4645          -0.758407         -0.0193326        -0.106607      
-10.3569          -0.751099         -0.0204887        -0.107941      
-10.2484          -0.74343          -0.0216231        -0.109274      
-10.1391          -0.735935         -0.0227337        -0.110604      
-10.0289          -0.728257         -0.0238222        -0.111933      
-9.91801          -0.719373         -0.0247053        -0.113027      
-9.80628          -0.710524         -0.0255541        -0.114109      
-9.69379          -0.701365         -0.0263733        -0.115186      
-9.58056          -0.692421         -0.0271621        -0.116256      
-9.46658          -0.683144         -0.0279216        -0.117321      
-9.35192          -0.673972         -0.0286496        -0.118378      
-9.23654          -0.664693         -0.0293478        -0.11943       
-9.1205           -0.655255         -0.0300144        -0.120474      
-9.0038           -0.645957         -0.0306501        -0.121513      
-8.88645          -0.636335         -0.0312545        -0.122544      
-8.76851          -0.626916         -0.0318267        -0.123567      
-8.64994          -0.617227         -0.0323679        -0.124585      
-8.53082          -0.607587         -0.0328762        -0.125593      
-8.41112          -0.597912         -0.0333531        -0.126595      
-8.29089          -0.588036         -0.0337969        -0.127587      
-8.17014          -0.57833          -0.0342032        -0.128556      
-8.04887          -0.568317         -0.0345773        -0.129517      
-7.92714          -0.558478         -0.0349185        -0.130468      
-7.80492          -0.548442         -0.0352277        -0.131412      
-7.68228          -0.538399         -0.0355038        -0.132347      
-7.5592           -0.52839          -0.0357478        -0.133273      
-7.43573          -0.51815          -0.0359592        -0.13419       
-7.31187          -0.508121         -0.0361379        -0.135097      
-7.18764          -0.497787         -0.0362847        -0.135996      
-7.06308          -0.487627         -0.0363987        -0.136885      
-6.93818          -0.477312         -0.0364811        -0.137765      
-6.81299          -0.466957         -0.0365309        -0.138634      
-6.6875           -0.456695         -0.0365492        -0.139494      
-6.56175          -0.446153         -0.0365005        -0.14024       
-6.43577          -0.435838         -0.0364181        -0.140969      
-6.30955          -0.425254         -0.0363046        -0.141688      
-6.18314          -0.41481          -0.0361592        -0.142395      
-6.05653          -0.404277         -0.0359832        -0.143093      
-5.92977          -0.393665         -0.0357761        -0.143778      
-5.80286          -0.383187         -0.0355385        -0.144452      
-5.67583          -0.372472         -0.0352708        -0.145115      
-5.54871          -0.36196          -0.0349729        -0.145766      
-5.42149          -0.351249         -0.0346458        -0.146406      
-5.29422          -0.340622         -0.0342891        -0.147034      
-5.1669           -0.329981         -0.0339039        -0.14765       
-5.03957          -0.319217         -0.0334833        -0.148236      
-4.91223          -0.308607         -0.0330327        -0.148804      
-4.78491          -0.297787         -0.0325546        -0.149361      
-4.65764          -0.287146         -0.0320491        -0.149905      
-4.53042          -0.276367         -0.031517         -0.150438      
-4.40329          -0.265634         -0.0309585        -0.150957      
-4.27625          -0.254938         -0.0303744        -0.151464      
-4.14934          -0.244124         -0.0297649        -0.151959      
-4.02257          -0.233477         -0.0291306        -0.15244       
-3.89596          -0.222656         -0.0284722        -0.15291       
-3.76954          -0.211987         -0.0277899        -0.153366      
-3.6433           -0.201228         -0.0270831        -0.153807      
-3.5173           -0.190431         -0.0263446        -0.154219      
-3.39154          -0.179714         -0.0255842        -0.154619      
-3.26604          -0.168876         -0.0248022        -0.155005      
-3.14082          -0.158208         -0.0239994        -0.155378      
-3.01589          -0.147411         -0.0231764        -0.155738      
-2.8913           -0.13673          -0.0223338        -0.156085      
-2.76704          -0.12603          -0.0214722        -0.156419      
-2.64315          -0.115317         -0.0205924        -0.156739      
-2.51963          -0.104718         -0.0196949        -0.157046      
-2.39651          -0.094012         -0.0187805        -0.157339      
-2.27381          -0.0834668        -0.0178497        -0.157619      
-2.15155          -0.0728358        -0.0169003        -0.157877      
-2.02975          -0.0622975        -0.0159349        -0.158118      
-1.90842          -0.0517846        -0.0149553        -0.158345      
-1.78759          -0.0412494        -0.0139623        -0.158559      
-1.66728          -0.0308383        -0.0129565        -0.15876       
-1.54749          -0.0203627        -0.0119388        -0.158947      
-1.42826          -0.010001         -0.0109097        -0.159119      
-1.3096           0.000362498       -0.00987005       -0.159279      
-1.19153          0.0106871         -0.00882061       -0.159424      
-1.07407          0.0209351         -0.0077621        -0.159556      
-0.957239         0.0312021         -0.00669527       -0.159674      
-0.841051         0.0412772         -0.00561025       -0.159734      
-0.725525         0.0512261         -0.00449851       -0.159697      
-0.610684         0.0610789         -0.0033809        -0.159646      
-0.496537         0.0709117         -0.00225815       -0.159582      
-0.383111         0.0806961         -0.00113103       -0.159504      
-0.27042          0.0903977         -2.8164e-07       -0.159412      
-0.15848          0.100091          0.00113335        -0.159308      
-0.0473125        0.109689          0.00226911        -0.159189      
0.0630697         0.119258          0.00340625        -0.159057      
0.172645          0.128757          0.00454402        -0.158912      
0.281401          0.138198          0.00568168        -0.158754      
0.389316          0.147585          0.00681849        -0.158582      
0.496376          0.156882          0.00795532        -0.158389      
0.602593          0.166128          0.00909077        -0.15818       
0.707867          0.175357          0.0102227         -0.157955      
