AOA,CM
-14.763271533504684,-0.0427285913731641
-14.394568300032226,-0.0027703302116492
-14.263687601257113,-0.0585919138430418
-14.185755789165947,0.000574660590129
-14.121441535819132,-0.0638000153303694
-13.953874467575394,-0.0677207235032599
-13.839246342562706,0.0033074962124969
-13.70920433579552,-0.0714990439329542
-13.52829468352412,-0.07567443454916
-13.385108961787244,0.0062629337182868
-13.342451548853132,-0.0792487351036152
-13.091578232226643,-0.0830858847570218
-12.951972153533188,0.0080666052290496
-12.892908043316726,-0.086690246503323
-12.676339639189704,-0.0903303835523171
-12.518835345279136,0.0100640596293985
-12.440083198323856,-0.0943339877390861
-12.203826757458009,-0.098091636719842
-12.08569853702508,0.0117037610028193
-11.96757031659216,-0.1016989797413676
-11.731313875726311,-0.1052243376942222
-11.65256172877103,0.0129260838448238
-11.492028506131415,-0.1087202651096052
-11.219424920516976,0.0137608409076562
-11.214174777386624,-0.1124335580660287
-10.89746761384685,-0.1160833404172194
-10.786288112262923,0.0143272832002925
-10.550031671397075,-0.1196263814241011
-10.353151304008868,0.0147893808600746
-10.1873573104188,-0.1232797511508456
-9.920014495754817,0.0153111040243449
-9.801886275321891,-0.1268383346315301
-9.486877687500762,0.0156539506751511
-9.398750284955565,-0.1305499158117946
-9.05374087924671,0.0159073590692252
-9.011739734203893,-0.1332249714810038
-8.780733436468399,-0.136056189185777
-8.620604070992655,0.0158775463169812
-8.421262699012097,-0.1380866860531964
-8.187467262738604,0.0156539506751511
-8.148091189260963,-0.1403561818177718
-7.754330454484549,0.0151769466392468
-7.714954381006908,-0.1422045724569007
-7.321193646230498,0.0145210660898785
-7.281817572752857,-0.1446044990125438
-6.888056837976443,0.0137459345315342
-6.848680764498802,-0.1468106426786008
-6.415543956244747,-0.1488826289595597
-5.982407147990696,-0.1507757387270547
-5.5492703397366405,-0.1525645038616954
-5.116133531482589,-0.1541557595127197
-3.816723106720428,-0.1579307992656179
-3.3835862984663763,-0.1586910244478402
-1.6510390654501634,-0.1594661560061846
-0.8635175958973385,-0.0064356424736493
0.0815081675660494,-0.1562165660115871
0.6155461641065614,-0.0163747275442495
1.7353032536269808,-0.1489441000153771
1.8534314740599065,-0.0269202619647334
2.9139603863910395,-0.1398056396596658
3.8739162443813697,-0.0524157053364903
4.05546266007876,-0.1263180447726561
4.533629542104684,-0.0668092577556854
4.70819680118889,-0.1116333837957995
4.905077168577101,-0.082614677645165
-4.214123006833713,-0.156956155143339
-4.66970387243736,-0.1554384485666105
-2.2095671981776768,-0.159991568296796
-2.756264236902048,-0.1596121416526138
-0.4783599088838279,-0.1577150084317032
-0.979498861047837,-0.1584738617200675
1.2528473804100209,-0.1516441821247892
0.7061503416856496,-0.1546795952782462
2.619589977220958,-0.1429173693086003
2.164009111617311,-0.1463322091062394
3.2574031890660606,-0.1372259696458684
3.621867881548973,-0.1334317032040472
3.8496583143507976,-0.1300168634064081
4.578587699316628,-0.1159780775716695
4.350797266514803,-0.1212900505902192
4.943052391799547,-0.1030775716694772
4.8063781321184464,-0.1076306913996627
4.9886104783599095,-0.0977655986509274
4.943052391799547,-0.0909359190556492
4.851936218678816,-0.0772765598650927
4.715261958997722,-0.0734822934232715
4.3963553530751724,-0.062858347386172
4.123006833712985,-0.0583052276559865
3.348519362186785,-0.0435075885328836
3.621867881548973,-0.047681281618887
3.0751708428246047,-0.0397133220910624
2.66514806378132,-0.035539629005059
2.3462414578587705,-0.0317453625632377
1.5261958997722085,-0.023397976391231
1.161731207289293,-0.020362563237774
-0.4328018223234622,-0.0089797639123102
0.0683371298405468,-0.0127740303541315
-1.5717539863325776,-0.0029089376053963
-2.3462414578587705,0.0008853288364249
-2.9384965831435075,0.0035413153456998
-3.4851936218678823,0.0054384485666104
-3.8496583143507976,0.0065767284991568
-4.3963553530751724,0.0077150084317031
-4.943052391799547,0.0092327150084316
-5.489749430523919,0.0107504215851601
-6.127562642369021,0.0126475548060707
-14.69248291571754,-0.0070826306913996
-14.874715261959,-0.0120151770657672
-15.011389521640092,-0.0188448566610455
-15.011389521640092,-0.0226391231028668
-14.874715261959,-0.0370573355817875
-14.965831435079728,-0.032504215851602
-14.419134396355354,-0.053752107925801
-14.646924829157175,-0.047681281618887
-14.510250569476083,-0.0510961214165261
