alpha,C_lfs
-39.58603793057073,-0.6591229076295693
-38.02955472933496,-0.6571276299828939
-37.2606895335438,-0.6529692475977655
-36.51057714740608,-0.6525179791954332
-35.66670071300114,-0.6511604444975081
-34.897835517209984,-0.6462002215627818
-30.30339715211644,-0.6921102548909652
-28.128071232317048,-0.7624484537999443
-24.508778969202545,-0.904407796497261
-23.758666583064826,-0.9165510189600199
-22.97104857762022,-0.9126537009398779
-22.202183381829055,-0.9030585495569543
-21.41456537638445,-0.8924833708356323
-20.664452990246726,-0.8780792480945223
-19.87683498480212,-0.8634927946858024
-19.145475408317843,-0.8420507081749844
-18.39536302218012,-0.8205539224638838
-17.664003445695844,-0.796577439673301
-16.932643869211567,-0.7718169350119992
-16.22003710238073,-0.7452331236746077
-15.488677525896453,-0.7183575832690416
-14.757317949412176,-0.6909168177938878
-14.044711182581342,-0.6617074448429268
-13.369610035057391,-0.6292161198750041
-12.675756077880003,-0.5970082362176363
-11.981902120702607,-0.563412981934917
-11.325553782832102,-0.526147908578686
-10.669205444961598,-0.4889126711498819
-10.012857107091094,-0.4515580900113698
-9.375261578874031,-0.4117271268964222
-8.73766605065697,-0.37174698414434104
-8.1000705224399,-0.3317668413922594
-7.462474994222838,-0.29163751900304336
-6.824879466005775,-0.2518065558880962
-6.187283937788713,-0.2122739520474184
-5.549688409571651,-0.17214462965820188
-4.912092881354589,-0.13186612763185135
-4.2744973531375265,-0.09173680524263483
-3.6369018249204643,-0.05392260874590349
-1.0865197120522154,0.10831308815490726
-0.4489241838351532,0.1482932309069891
0.18867134438190902,0.18812419402193603
0.8262668725989712,0.22825351641115232
1.4638624008160406,0.26823365916323394
2.101457929033103,0.30821380191531533
3.3766489854672272,0.3880249077823441
4.0142445136842895,0.4281542301715604
4.651840041901352,0.4671274103729832
5.289435570118414,0.5081145156757234
5.927031098335476,0.5474979398792663
6.5833794362059805,0.5865830048085403
7.220974964423043,0.6259664290120834
7.858570492640105,0.6653498532156263
8.514918830510616,0.7039873792334963
9.17126716838112,0.7424757256142316
9.808862696598183,0.7813668570152306
10.465211034468688,0.8194524183757022
11.121559372339192,0.8614464862291014
11.777907710209696,0.8950864944029611
12.434256048080208,0.9318443569929344
13.109357195604154,0.9679458291795155
13.784458343128101,1.0017499349542234
14.478312300305497,1.0331108097829707
15.190919067136328,1.061189732594756
15.94103145327405,1.0825224207050084
16.691143839411772,1.097291204781337
17.47876184485638,1.1069547301646139
18.266379850300986,1.1146126182041918
19.035245046092143,1.1233872815828747
19.822863051536757,1.1276948436051373
20.610481056981357,1.1330280156327004
21.39809906242597,1.1363099676496622
22.18571706787057,1.1367202116517825
22.954582263661734,1.1335750076355273
23.74220026910635,1.1301107249509563
24.511065464897513,1.1252333795924159
25.304934406893267,1.1229998289142056
26.110412231055435,1.1175838638794116
26.896422852815462,1.1125978643271124
27.70529404253398,1.098688639112369
30.62448141191993,1.0133598402142263
31.43085222701798,0.9916305829019243
33.68118938543115,0.9556202760491477
34.450054581222304,0.9558026067167567
35.21891977701347,0.9558026067167567
35.9690321631512,0.9537140917968716
36.79415578790268,0.9549075288939488
37.581773793347296,0.9572612520576285
38.406897418098794,0.9598304569193916
39.23202104285028,0.9611730736536033
39.88836938072079,0.9574435827252374
2.758267110997167,0.3490354419021977
-1.7123814406562516,0.06908927770300544
-2.36862342988978,0.026020637056975993
-2.778774673160733,0.0008972633467920765
28.43373493975902,1.0812023328847014
29.130992053319645,1.0596680125616866
29.91027941553446,1.0345446388515027
32.12509612919763,0.9699416778824583
32.904383491412446,0.9555854643337818
-25.25506280440913,-0.8820098698968151
-25.952319917969753,-0.8568864961866312
-26.690592155857473,-0.8281740690892785
-27.387849269418098,-0.7958725886047557
-28.78236349653935,-0.73844773441005
-29.52063573442707,-0.7133243606998656
-31.03819533452961,-0.6702557200538362
-31.77646757241733,-0.6523104531179906
-32.55575493463215,-0.6451323463436522
-33.335042296846964,-0.6415432929564835
-34.11432965906178,-0.6451323463436522
-38.831068956677775,-0.659488559892329
