alpha,f_l
-39.642296359531066,-0.00088640622764391
-39.22973454715532,-0.00088640622764391
-38.81717273477957,-0.00088640622764391
-38.404610922403826,-0.00088640622764391
-37.99204911002808,-0.00088640622764391
-37.579487297652335,-0.00088640622764391
-37.166925485276586,-0.00088640622764391
-36.75436367290084,-0.00088640622764391
-36.341801860525095,-0.00088640622764391
-35.929240048149346,-0.00088640622764391
-35.5166782357736,-0.00088640622764391
-35.104116423397855,-0.00088640622764391
-34.691554611022106,-0.00088640622764391
-34.27899279864636,-0.00088640622764391
-33.866430986270615,-0.00088640622764391
-33.453869173894866,-0.00088640622764391
-33.04130736151912,-0.00088640622764391
-32.628745549143375,-0.00088640622764391
-32.216183736767626,-0.00088640622764391
-31.803621924391884,-0.00088640622764391
-31.391060112016135,-0.00088640622764391
-30.97849829964039,-0.00088640622764391
-30.565936487264644,-0.00088640622764391
-30.153374674888894,-0.00088640622764391
-29.74081286251315,-0.00088640622764391
-29.328251050137403,-0.00088640622764391
-28.915689237761654,-0.00088640622764391
-28.50312742538591,-0.00088640622764391
-28.090565613010163,-0.00088640622764391
-27.678003800634418,-0.00088640622764391
-27.26544198825867,-0.00088640622764391
-26.852880175882923,0.0014855500027968205
-26.440318363507178,0.0058117594797009176
-26.027756551131432,0.009556168371780416
-25.615194738755683,0.014628276034358123
-25.202632926379938,0.020744641156877908
-24.790071114004192,0.03029213793349461
-24.377509301628447,0.04222650890426527
-23.964947489252697,0.054160879875035484
-23.552385676876952,0.06415591556305644
-23.139823864501206,0.0737034123396727
-22.72726205212546,0.0848918851247702
-22.314700239749712,0.0965278968212715
-21.902138427373966,0.10905898634058042
-21.48957661499822,0.12352941114263993
-21.07701480262247,0.1381490155818339
-20.664452990246726,0.1550063145780476
-20.25189117787098,0.17305705067133803
-19.839329365495235,0.1911077867646287
-19.426767553119486,0.20900934322078468
-19.01420574074374,0.22661254040267154
-18.601643928367995,0.2473485099643853
-18.18908211599225,0.2683828388003684
-17.7765203036165,0.2907597843705634
-17.363958491240755,0.31477770594923915
-16.95139667886501,0.3402874238992617
-16.538834866489264,0.3690790938662456
-16.126273054113515,0.39876584165603757
-15.71371124173777,0.43233126001133004
-15.301149429362024,0.46843273219791115
-14.865146604919474,0.5015599353691205
-14.513531423917417,0.5355486509447824
-14.146371150702638,0.5732824624240105
-13.800924657086583,0.6102859915977097
-13.463374083324606,0.6465697944518998
-13.132442148263845,0.6818561413009347
-12.825778555107547,0.7182713294891374
-12.525733600652458,0.7543728016757185
-12.22568864619737,0.7908845178644199
-11.92564369174228,0.830491711523665
-11.513081879366531,0.8618194353219379
-11.10052006699079,0.8926996202088069
-10.68795825461504,0.9249224218298875
-10.275396442239291,0.9593829180079876
-9.86283462986355,0.9839975581352021
-9.4502728174878,0.9919040789033378
-9.037711005112051,0.9983188033001269
-8.625149192736309,1.0001089589457426
-8.21258738036056,1.0001089589457426
-7.800025567984818,1.0001089589457426
-7.387463755609069,1.0001089589457426
-6.97490194323332,1.0001089589457426
-6.562340130857578,1.0001089589457426
-6.149778318481829,1.0001089589457426
-5.73721650610608,1.0001089589457426
-5.324654693730338,1.0001089589457426
-4.912092881354589,1.0001089589457426
-4.49953106897884,1.0001089589457426
-4.086969256603098,1.0001089589457426
-3.6744074442273487,1.0001089589457426
-3.2618456318516067,1.0001089589457426
-2.8492838194758576,1.000904583677127
-2.4367220071001086,1.0001089589457426
-2.0241601947243666,1.0001089589457426
-1.6115983823486175,1.0001089589457426
-1.1990365699728684,1.0001089589457426
-0.7864747575971265,1.0001089589457426
-0.3739129452213774,1.0001089589457426
0.03864886715436455,1.0001089589457426
0.4512106795301136,1.0001089589457426
0.8637724919058627,1.0001089589457426
1.2763343042816047,1.0001089589457426
1.6888961166573537,1.0001089589457426
2.101457929033103,0.9992138811229347
2.5140197414088448,0.9971253662030497
2.926581553784594,0.9950368512831649
3.339143366160343,0.9907106418062606
3.751705178536085,0.9857877137808178
4.164266990911834,0.9808647857553747
4.576828803287576,0.9759418577299319
4.989390615663325,0.971914007527297
5.401952428039074,0.9649025645819691
5.814514240414816,0.9580403012737762
6.227076052790565,0.9514763972398521
6.639637865166314,0.9449124932059283
7.052199677542056,0.9379010502606007
7.464761489917805,0.9295469905810612
7.877323302293547,0.9205962123529832
8.289885114669296,0.9119437933991745
8.702446927045045,0.9032913744453659
9.115008739420787,0.8940422369430185
9.527570551796536,0.8846439198035367
9.940132364172285,0.8749472433897856
10.352694176548027,0.8639079502418228
10.765255988923776,0.8519735792710521
11.177817801299526,0.8397408490260121
11.590379613675267,0.8255687834982222
12.002941426051017,0.8115458976075667
12.415503238426759,0.7949869578856223
12.828065050802508,0.7776821199780051
13.240626863178257,0.7562002522306179
13.653188675553999,0.730988893554865
14.065750487929748,0.7033906606849578
14.478312300305497,0.6686318052325884
14.855712594581036,0.6294535030301054
15.094476046061473,0.5998280254484223
15.409334144276428,0.5675669887102608
15.72261637613395,0.5303071805176933
16.04692967249349,0.49401265233011427
16.3535932656498,0.4566382171369543
16.65363822010488,0.4209469889524933
16.951182799939517,0.38627453337329776
17.25607223022174,0.3524362405984127
17.597529639328187,0.31873925409092574
17.946139562372963,0.2899450340446743
18.37889670822164,0.2600287791208291
18.791458520597388,0.2310879295167101
19.20402033297313,0.20483231338101482
19.616582145348886,0.1814111103508773
20.029143957724628,0.15933252405495213
20.44170577010037,0.14187850651019973
20.854267582476126,0.12546874642539008
21.266829394851868,0.1104016030747923
21.67939120722761,0.09697543573267575
22.091953019603366,0.08399680730196213
22.504514831979108,0.07325587342826889
22.91707664435485,0.062216580280305855
23.329638456730606,0.05326580205222786
23.74220026910635,0.04521010164695749
24.15476208148209,0.03775111979022627
24.567323893857832,0.0319331139419754
24.97988570623359,0.026264287730859426
25.39244751860933,0.02193807825395533
25.805009330985072,0.017910228051320143
26.21757114336083,0.014926635308627478
26.63013295573657,0.012987300025877335
27.042694768112312,0.010451246194588482
27.45525658048807,0.009108629460376605
27.86781839286381,0.0073781456696142556
28.280380205239553,0.0040066858703720065
28.69294201761531,0.002320955970751104
29.10550382999105,-0.0007372265905094544
29.518065642366793,-0.00088640622764391
29.93062745474255,-0.00088640622764391
30.34318926711829,-0.00088640622764391
30.755751079494033,-0.00088640622764391
31.16831289186979,-0.00088640622764391
31.58087470424553,-0.00088640622764391
31.993436516621273,-0.00088640622764391
32.405998328997015,-0.00088640622764391
32.81856014137277,-0.00088640622764391
33.23112195374851,-0.00088640622764391
33.643683766124255,-0.00088640622764391
34.05624557850001,-0.00088640622764391
34.46880739087575,-0.00088640622764391
34.881369203251495,-0.00088640622764391
35.29393101562725,-0.00088640622764391
35.70649282800299,-0.00088640622764391
36.119054640378735,-0.00088640622764391
36.53161645275449,-0.00088640622764391
36.94417826513023,-0.00088640622764391
37.356740077505975,-0.00088640622764391
37.76930188988173,-0.00088640622764391
38.18186370225747,-0.00088640622764391
38.594425514633215,-0.00088640622764391
39.00698732700897,-0.00088640622764391
39.41954913938471,-0.00088640622764391
39.77585252280012,-0.00088640622764391
