edge,flap,tors
0.0,0.0,0.0
0.0,0.0,0.0
7.628390382136686e-13,5.489056176844839e-09,2.8888786061345643e-10
8.56134780886871e-12,9.255984525552955e-08,4.680661610017467e-09
3.191209086258732e-11,4.864488837147855e-07,2.3836953837221988e-08
8.568395311818901e-11,1.5650655471882142e-06,7.522540641585868e-08
1.9791848334427946e-10,3.846258840472209e-06,1.8260337004195458e-07
4.1667126748364507e-10,7.97637023152277e-06,3.7551089155710454e-07
8.187657324667012e-10,1.4720034600994251e-05,6.887715846639981e-07
1.5205420968356998e-09,2.4950943068606338e-05,1.1619996823531187e-06
2.690496168860033e-09,3.964343971829691e-05,1.8391135590678933e-06
4.563690278499665e-09,5.986485276094899e-05,2.767856265927092e-06
7.457791599715785e-09,8.676847354678973e-05,3.999323697954727e-06
1.17905528380908e-08,0.00012158710914967125,5.587501087952639e-06
1.8098502573319725e-08,0.00016562714540663593,7.5888085856551124e-06
2.7056560839982808e-08,0.00022026306685007498,1.0061656725794547e-05
3.949824219830486e-08,0.00028693238799385807,1.306601261479875e-05
5.643605556642437e-08,0.0003671309571378055,1.666297767520451e-05
7.908165920136624e-08,0.0004624085994442604,2.0914377781746143e-05
1.088652819919068e-07,0.0005743650706964571,2.5882366605588427e-05
1.4745388009044592e-07,0.0007046462970228731,3.162904295516208e-05
1.9676746215239336e-07,0.0008549408790931534,3.821608286516032e-05
2.589929882433718e-07,0.0010269768419662556,4.5704387140918276e-05
3.3659522785842393e-07,0.0012225186139905985,5.415374501487998e-05
4.3232395239028455e-07,0.0014433642199944436,6.362251451631804e-05
5.49216837571476e-07,0.0016913426755258863,7.416732009585185e-05
6.905974625530192e-07,0.001968311570158548,8.584276798361067e-05
8.600678148705096e-07,0.002276154828916128,9.870117969472858e-05
1.0614947449758426e-06,0.002616780641723153,0.0001127923440291682
1.2989898604785258e-06,0.0029921195514924777,0.0001281632878450216
1.5768824088537972e-06,0.003404122692037486,0.00014485806581626597
1.8996847680469034e-06,0.0038547601674716997,0.00016291756931772534
2.272050246934686e-06,0.004346019565147709,0.00018237935451231844
2.6987229916512127e-06,0.0048799045945073245,0.00020327748964887898
3.1844798988509605e-06,0.005458433844478018,0.00022564242151333378
3.7340643641882263e-06,0.006083639653399919,0.00024950080387670895
4.352109914918563e-06,0.006757567094210008,0.0002748748639507222
5.0430555148726365e-06,0.00748227306560977,0.0003017822274451405
5.8110554298518536e-06,0.008259825600638405,0.0003302362885053438
6.659881373337291e-06,0.009092303308930436,0.0003602461695077907
7.592818807189158e-06,0.009981794793128579,0.0003918166921971958
8.612558104511353e-06,0.010930398123103246,0.00042494836722941514
9.721081623635023e-06,0.011940220374826345,0.00045963740185280206
1.0919547946493665e-05,0.013013377229135826,0.0004958757251942125
1.220817471344062e-05,0.014151992624160236,0.0005336510305508464
1.3586090065143091e-05,0.01535819847110121,0.0005729459335874609
1.5051169915461925e-05,0.016634134422146327,0.0006137369587730283
1.659993240360703e-05,0.017981947884837795,0.0006559952502970276
1.822745114779034e-05,0.0194037943724697,0.000699687498650136
1.9927252151236418e-05,0.020901837761533617,0.0007447760760569117
2.169122263775163e-05,0.022478250329407205,0.0007912191735311454
2.3509534249686423e-05,0.02413521276840064,0.0008389709522468563
2.5370583427115894e-05,0.02587491419892547,0.0008879817086218452
2.7261031421362198e-05,0.027699552158918853,0.0009381994803225316
2.9165820754503596e-05,0.02961133259009297,0.0009895705812027061
3.106812634553057e-05,0.031612469444686424,0.0010420385069478306
3.2949392409017904e-05,0.03370518411680223,0.0010955439950322762
3.478940673528516e-05,0.0358917051892473,0.001150025228995212
3.656640991172136e-05,0.038174268232785726,0.0012054180513383606
3.8257281581161345e-05,0.04055511196445597,0.001261656116133743
3.9837804703941216e-05,0.043036470752629154,0.00131867098358802
4.128286665773128e-05,0.0456205768914224,0.001376392394190605
4.256666182238125e-05,0.04830966741466673,0.0014347486161963598
4.366301121273724e-05,0.05110598460823535,0.0014936666822935821
4.454574149288653e-05,0.05401177568074342,0.0015530726204916391
4.518962683933575e-05,0.057029173279567934,0.0016128871239166698
4.557154075940644e-05,0.06016001877520864,0.0016730192687424096
4.5670382592662326e-05,0.06340595822010191,0.0017333704596334027
4.546676008791122e-05,0.06676861435446962,0.001793840482432319
4.494347094865692e-05,0.07024960523734643,0.0018543278856272601
4.4086137961354225e-05,0.07385052215535855,0.00191472906431622
4.288349852759081e-05,0.07757270352938339,0.001974927268510927
4.1328317556791126e-05,0.08141722692907205,0.0020347929893091304
3.941876835857644e-05,0.08538513210178632,0.0020941947731687566
3.715946909233838e-05,0.0894774433333657,0.0021529996430285515
3.456289632609073e-05,0.09369515020331817,0.0022110782739426242
3.1650991151466155e-05,0.09803918029662244,0.002268311209151505
2.845672823329124e-05,0.10251041832394558,0.00232458529168331
2.5025781792176178e-05,0.10710973238135654,0.0023797889357694765
2.1418675431142694e-05,0.11183793278456451,0.0024338157758895225
1.7713093912042606e-05,0.11669570248283079,0.0024865702876421636
1.4005671029098805e-05,0.12168354456400886,0.002537963950533573
1.0413766526821065e-05,0.12680174961126184,0.0025879092483096773
7.077675548464708e-06,0.13205035015270825,0.0026363191621173224
4.162821799712917e-06,0.137429136533865,0.0026831076213287446
1.8621681337394209e-06,0.14293753354082894,0.0027281922556137922
3.9872673599932e-07,0.1485745226803091,0.0027714958335148814
2.558494107836882e-08,0.15433853020158422,0.0028129464196136825
1.0189351377954897e-06,0.16022738073227755,0.002852478487769208
3.6738788357487463e-06,0.1662384874771968,0.0028900334645881073
8.303239525810261e-06,0.17236857759325444,0.002925564904572829
1.5235774432206813e-05,0.17861371549782845,0.0029590429284384106
2.481502569058362e-05,0.1849696476296747,0.002990450584322704
3.739893916098635e-05,0.19143186955494979,0.0030197750274395746
5.336136536434758e-05,0.19799556956265546,0.0030469803539988805
7.309216747075009e-05,0.20465513073708513,0.0030719982394088147
9.699283391073031e-05,0.2114035263940241,0.0030947496516543823
0.00012547179879292004,0.2182323766124916,0.0031151636553010367
0.0001589432403398361,0.22513285190147114,0.0031331945680397894
0.0001978286238580153,0.23209657027638994,0.0031488326615031594
0.00024255075852455292,0.2391157320185855,0.0031620917661968977
0.0002935288504848882,0.2461826827566539,0.0031729928785558057
0.0003511803747253872,0.2532895783381212,0.0031815624669668534
0.0004159189853372874,0.26042835752012505,0.003187831725950607
0.0004881526081732501,0.2675907639139048,0.003191836408887707
0.0005682813650019833,0.27476832889174385,0.0031936157566179115
0.0006566938174937005,0.2819521345268177,0.003193207813740178
0.0007537646760053337,0.2891328606649314,0.0031906499964226218
0.0008598554151797377,0.29630089643093166,0.003185975467326732
0.0009753133243438443,0.30344631696744373,0.0031792108560817277
0.001100479139640259,0.31055949985287884,0.0031703801948904254
0.0012356926492083252,0.3176313836459047,0.0031595054159071676
0.001381290508339012,0.32465385068038005,0.0031466279859761626
0.0015375998553386059,0.3316195911588261,0.0031318144047883813
0.0017049176034940317,0.3385209835075875,0.0031151451623061682
0.0018835008077142626,0.3453495359536162,0.0030966998949516172
0.002073568908745738,0.35209583307122594,0.0030765435494587616
0.0022752934577805013,0.3587494687577936,0.003054731295984742
0.0024887777635811967,0.36529942139251415,0.003031339592519134
0.0027140412832306593,0.3717345831278044,0.003006490052584058
0.0029510056415573693,0.37804340641168493,0.0029803377426796114
0.0031995004743078487,0.38421401970195906,0.0029530526638493772
0.003459273137474734,0.3902337945530198,0.002924782584204688
0.003729981502421193,0.3960889123637998,0.002895640188078326
0.004011169369635674,0.4017646666408265,0.002865731857199474
0.004302200494685418,0.40724479282791,0.0028351830522841347
0.004602225324851012,0.4125115321700479,0.0028041485528902074
0.004910031818089442,0.41754493250162833,0.002772883162478868
0.005224085401728402,0.422323638813804,0.002741706031266165
0.005542944126352041,0.4268286904023306,0.0027108355234599217
0.005865251818305392,0.4310431552597681,0.0026804076020025412
