aero_x,aero_y,aero_mom,alpha_steady,alpha_qs,aero_drag,aero_edge,aero_lift,aero_flap
-0.0242933722836147,0.49154812660114,0.1014339085440872,0.6705525080680079,0.6966337255659497,0.307477048536674,-0.010729351909903812,0.3842754133758449,0.4920311064451049
-0.0245070481075068,0.4957680178114602,0.1027120797078084,0.6703143741134907,0.7050595479933246,0.3134591491114326,-0.010708404497333901,0.3848764538523819,0.4962578492727036
-0.0247293553666523,0.4998530298636684,0.1039519659796649,0.6700094088958123,0.7131455237045446,0.3192718717158319,-0.010664417216732213,0.38539598390721325,0.5003507396678525
-0.0250333045070388,0.5038958683400389,0.1051634287276532,0.6696375876937342,0.7209052850148014,0.32492661860316024,-0.010667019719657698,0.385953889717179,0.504404527294318
-0.0254147176090109,0.5078880247455521,0.1063454358031753,0.6691990031406057,0.7283378294889168,0.3304196104252644,-0.010711560398857295,0.38654758387228444,0.508410676544962
-0.0258693062110892,0.5118197114897566,0.107496467554485,0.6686938432583579,0.7354386240076874,0.3357446050502395,-0.01079339829301789,0.387174635342967,0.512359386199364
-0.0263927052413069,0.515681533365396,0.1086150731530703,0.668122385432512,0.7422039408357195,0.34089568979963275,-0.01090789490080292,0.3878326281014442,0.5162412581079446
-0.026980508719932,0.5194645629419776,0.1096998880565511,0.6674849960202868,0.7486309183789757,0.34586736022054954,-0.0110504542139612,0.38851917473575837,0.520047370404804
-0.0276283028519349,0.5231603720609217,0.1107496385681273,0.6667821301623755,0.7547175299766854,0.3506545365904996,-0.01121656075494979,0.3892319282663001,0.5237693068310043
-0.0283316970221644,0.5267610570871482,0.1117631454670544,0.6660143314426704,0.7604625486096948,0.3552525765877031,-0.011401814851791984,0.3899685925142224,0.5273991798797292
-0.0290863525128429,0.5302592590262301,0.1127393269901404,0.6651822313826312,0.7658655099706455,0.35965728544125947,-0.011601964898641095,0.3907269311355084,0.5309296489140898
-0.0298880087771801,0.5336481787301862,0.1136772011690345,0.6642865487690094,0.770926674404626,0.36386492356528505,-0.011812936408531077,0.39150477535981454,0.5343539335160896
-0.0307325071490759,0.5369215874304804,0.1145758875292489,0.6633280888147378,0.7756469881438143,0.36787221168236167,-0.012030857723052547,0.39230003048236267,0.5376658223348241
-0.0316158119138024,0.5400738328681778,0.1154346081642651,0.6623077421535896,0.7800280442163676,0.3716763334726949,-0.012252082299284556,0.3931106811677692,0.5408596777272501
-0.0325340287064093,0.5430998413154543,0.1162526882047795,0.6612264836699775,0.7840720433669709,0.37527493581402077,-0.012473207546128542,0.39393479563313993,0.5439304365029156
-0.033321097717421,0.5457899028351952,0.1170173134052074,0.6600853711660131,0.7877817552840308,0.37862531902344193,-0.012536690889437409,0.3945120801500794,0.546662368351333
-0.0340646805108526,0.5482601067348907,0.1177350659819866,0.6588855438686633,0.7911604803872868,0.3817495542258412,-0.012526870677425219,0.3949896516918281,0.5491744937688668
-0.034851530013858,0.5506241997984013,0.118413514597933,0.6576282265846254,0.7942201833663212,0.38467494839720645,-0.012526850737075497,0.3955083091713032,0.5515838255048343
-0.0356790092032233,0.5528803144947048,0.1190528788652216,0.6563147303596741,0.7969685297270032,0.3874033738136597,-0.012534776283975504,0.3960659791136841,0.5538885386402196
-0.0365445463917772,0.5550251743547179,0.1196528104399929,0.6549464433312857,0.7994088943437363,0.38993386131164476,-0.012549018961933597,0.39666110452255926,0.5560853982632152
-0.0374456607312743,0.5570559511139436,0.1202130380742252,0.6535248245061723,0.8015449699942698,0.3922657825028169,-0.012568126488828539,0.39729216712202464,0.55817161552306
-0.0383799696810088,0.5589702997285619,0.1207333804878523,0.6520514013546879,0.8033808347313068,0.39439891159002943,-0.012590824793331745,0.39795768190594544,0.5601448823138324
-0.0393451938771345,0.5607663476198265,0.1212137445186533,0.6505277676636051,0.8049209253585872,0.3963334167088861,-0.012616018977796427,0.3986561973730871,0.5620033602828911
-0.0403391605331445,0.5624426809094931,0.1216541226163687,0.6489555812806689,0.8061700098176086,0.3980698483533457,-0.012642792422972525,0.3993862954748461,0.5637456669287368
-0.0413598054955667,0.5639983289605733,0.1220545900534605,0.6473365617438769,0.8071331605725995,0.39960912660658926,-0.012670404159090314,0.4001465912808319,0.5653708600904327
-0.0424051740490083,0.5654327474879272,0.1224153018961121,0.6456724878013105,0.8078157290711496,0.4009525273600506,-0.012698284648183004,0.4009357324079017,0.5668784210788644
-0.0434734205694003,0.5667458004649517,0.12273648977008,0.6439651948279901,0.8082233212975196,0.4021016676638087,-0.012726030129361892,0.4017523982537587,0.5682682366610062
-0.0445628071282785,0.5679377410395046,0.1230184584547263,0.6422165721465021,0.8083617744224124,0.40305849034712626,-0.012753395682936167,0.4025952990725339,0.5695405800948357
-0.0456717011532394,0.5690091916590042,0.1232615823372231,0.6404285602583507,0.808237134542773,0.4038252480432062,-0.012780287171138126,0.40346317492617245,0.5706960913993432
-0.0467985722504563,0.5699611235910226,0.1234663017573885,0.6386031479931591,0.8078556354968204,0.40440448674661195,-0.012806752212981352,0.4043547945419115,0.571735757030796
-0.0479419882945128,0.5707948360118096,0.1236331192719133,0.6367423695829747,0.8072236787327751,0.40479902902535614,-0.012832970348691998,0.40526895410271524,0.5726608891232309
-0.0491006108889937,0.5715119348213251,0.1237625958649365,0.6348483016690205,0.8063478142044762,0.4050119570026409,-0.012859242545441511,0.406204475994268,0.5734731044382504
-0.0502731902984103,0.5721143113296285,0.1238553471300258,0.6329230602482878,0.8052347222630888,0.4050465952157599,-0.012885980190982756,0.40716020752902116,0.574174303156692
-0.0514585599483196,0.5726041209460745,0.1239120394466934,0.6309687975673863,0.8038911965112512,0.4049064934519132,-0.012913693715484918,0.4081350196648864,0.5747666476327624
-0.0526556305860524,0.5729837619897719,0.1239333861726155,0.6289876989710487,0.8023241275841112,0.4045954096527616,-0.012942980974566684,0.4091278057334656,0.575252541219818
-0.0538633841894497,0.5732558547272837,0.1239201438707847,0.6269819797126468,0.8005404878206226,0.4041172929715701,-0.012974515518437979,0.410137480190215,0.5756346072661985
-0.0550808677055396,0.5734232207316504,0.1238731085889046,0.6249538817340019,0.7985473167880904,0.4034762670588768,-0.013009034863353065,0.4111629773966623,0.5759156683694049
-0.0563071866952968,0.5734888626455338,0.1237931122064705,0.6229056704216729,0.7963517076231021,0.4026766136448121,-0.013047328872422152,0.412203250442732,0.5760987259674349
