time,inflow_x,inflow_y,pos_x,pos_y,pos_tors,vel_x,vel_y,vel_tors,accel_x,accel_y,accel_tors,pos_edge,vel_edge,pos_flap,vel_flap
0.0,1.0,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0307929176289453,0.9999741000229692,0.0071971718926698,0.0,0.0,0.0,0.0,0.0,0.0,0.0025999999999999,0.2210000000000002,0.0507,0.0,0.0,0.0,0.0
0.0615858352578906,0.9998964014334948,0.0143939709721664,1.2326649089339104e-06,0.0001047765172593,2.4036965724211382e-05,8.006158583525748e-05,0.0068052347959969,0.0015612009237875,0.0008401870334777,0.2445175346082068,0.0519783505154639,1.23518341813163e-06,8.022516300764949e-05,0.00010477648759950716,0.006805232869593355
0.092378752886836,0.9997669082563596,0.0215900244446279,4.096328985689929e-06,0.0004302557765975,9.675393128981858e-05,0.00010593339595,0.0143346430980202,0.0031617659896986,0.0008759970577878,0.241923233405122,0.0511063631458459,4.137957904297411e-06,0.00010732032852536762,0.0004302553782476857,0.01433463278145209
0.1231716705157813,0.9995856271993048,0.0287849595548147,7.773639180358949e-06,0.0009863575224761,0.0002183435542315,0.0001329079011937,0.0217841652967922,0.0047354800203636,0.0011353052469011,0.2363775966066366,0.0500253110553814,7.989003800548266e-06,0.00013766433006465566,0.0009863558016403467,0.02178413575794076
0.1539645881447267,0.9993525676526804,0.0359784036054192,1.2404511595123392e-05,0.0017692225949198,0.0003878798948537,0.0001678672621452,0.0290629211584285,0.0062759053030543,0.0013623647603083,0.230742852129496,0.0489136290236124,1.3090756518871551e-05,0.0001791401720377197,0.0017692176503687805,0.029062853859824114
0.184757505773672,0.9990677416889608,0.0431699839763699,1.8219534076035505e-05,0.0027735503540569,0.0006043233737693,0.0002098184479899,0.0361681667975199,0.0077820986525112,0.001531039911676,0.2253481249019847,0.0477919066896089,1.989565195434819e-05,0.00023167567692806987,0.002773538837107643,0.036168033394906304
0.2155504234026174,0.9987311640621171,0.0503593281441336,2.540632517483247e-05,0.0039941117065277,0.0008666151297515,0.0002569636338768,0.043107293045464,0.0092537508985346,0.0016433897909792,0.2202123498055016,0.0466623982463369,2.886767283601659e-05,0.00029432096506395273,0.003994088189192314,0.04310705416966192
0.2463433410315627,0.9983428522068554,0.0575460637010126,3.4098119389145066e-05,0.0054259141212986,0.0011736878500385,0.0003075684003427,0.0498882737939014,0.0106906222841031,0.0017040449998638,0.2153185692071854,0.0455252568187942,4.04664239207445e-05,0.00036612143586637285,0.005425870363544314,0.049887878443068294
0.277136258660508,0.9979028262377116,0.0647298183744358,4.4376938757925694e-05,0.0070642025670781,0.0015244669116469,0.0003600409176595,0.0565185607594806,0.0120924777673608,0.0017172373194402,0.2106475025242036,0.0443805043636584,5.514602609138214e-05,0.0004462011416909934,0.007064126707329978,0.05651794621469045
0.3079291762894534,0.9974111089480112,0.0719102200462407,5.627779453384565e-05,0.0089044423317114,0.0019178704643786,0.0004129196649864,0.0630050119534515,0.013459082982562,0.0016865483440514,0.2061814531201543,0.0432282597147556,7.335524751318113e-05,0.0005337542830371313,0.008904318021982022,0.06300410415417108
0.3387220939183988,0.9968677258086868,0.0790868967719505,6.979239151934965e-05,0.0109423014912102,0.0023528094975697,0.000464853409222,0.0693539404559966,0.0147902072232011,0.0016149673321715,0.2019045812490652,0.0420687534710681,9.553732546496856e-05,0.0006280285818241653,0.010942106996456303,0.06935265478383938
0.3695150115473441,0.99627270496696,0.0862594768000408,8.487224332038262e-05,0.0131736350100909,0.0028281880057573,0.000514582965255,0.0755711715953058,0.0160856268835881,0.0015049723091637,0.1978027507959343,0.040902317910733,0.00012212937074852867,0.0007283101034350494,0.013173342290154745,0.07556941402649962
0.4003079291762894,0.9956260772448832,0.0934275885911953,0.0001014312643959,0.0155944705297622,0.0033429032555408,0.0005609254536049,0.0816620954073438,0.0173451285898463,0.0013586024693276,0.1938633433388091,0.0397293750156939,0.00015356140685791336,0.0008339102955868619,0.015594044321449856,0.08165976400468923
0.4311008468052348,0.994927876137743,0.1005908608375529,0.0001193479116806,0.0182009956841486,0.0038958461431774,0.0006027607875334,0.0876317133700477,0.018568511962154,0.0011775199872306,0.1900750860905953,0.0385504253345827,0.00019025510544171858,0.0009441550222507402,0.018200392600525733,0.08762870009324082
0.4618937644341802,0.9941781378123242,0.1077489224819404,0.0001384669394102,0.0209895467728229,0.0044859016319564,0.0006390200635066,0.0934846798393501,0.0197555920340426,0.0009630626245063,0.1864278976438595,0.0373660379104742,0.0002326222725363279,0.001058375305276762,0.020988714436576385,0.09348087265863823
0.4926866820631255,0.993376901105038,0.1149014027370929,0.0001586008213976,0.0239565986369427,0.0051119492592941,0.0006686755715746,0.0992253387352349,0.0209062013615399,0.0007162886318134,0.1829127503472726,0.0361768412022743,0.00028106313240375323,0.0011758995223446625,0.023955474864584006,0.0992206240378253
0.5234795996920708,0.9925242075199088,0.1220479311048618,0.0001795308869863,0.0270987555996094,0.0057728637044719,0.0006907321884126,0.1048577559899623,0.022020191852757,0.0004380152273471,0.1795215476702269,0.0349835149016996,0.0003359644492098066,0.0012960468502844539,0.027097267653319053,0.1048520212717354
0.5542725173210161,0.9916201012264252,0.1291881373954064,0.0002010082102141,0.0304127433472607,0.006467515408833,0.0007042199552285,0.1103857482199924,0.023097436345496,0.0001288517159588,0.1762470149993655,0.0337867825535921,0.0003976975212428819,0.0014181217774215794,0.030410807271240282,0.1103788850571399
