aero_drag,aero_lift,aero_mom,damp_edge,damp_flap,damp_tors
6.044113827425169e-07,0.0018029430929211111,6.007445894256543e-05,-1.5714829375454545e-07,-0.0002449468134203791,-2.0613966585623387e-05
6.380998304380405e-07,0.0018720690494080552,6.0817958809178894e-05,-1.5411724352884583e-07,-0.00025489931750752835,-2.1009467940553878e-05
6.722646968358672e-07,0.001943057871351916,6.151541904098523e-05,-1.4911766844426366e-07,-0.0002649121576502056,-2.1368299991590874e-05
7.068274992984799e-07,0.002015939547858152,6.216707036796185e-05,-1.4211323194262981e-07,-0.00027498182083949706,-2.1689920169918413e-05
7.41707026486754e-07,0.0020907424654835966,6.277315326307725e-05,-1.3312266453863078e-07,-0.0002851050818753213,-2.1973942766474264e-05
7.768195049374124e-07,0.0021674935289534634,6.333391891961884e-05,-1.2223059531686633e-07,-0.0002952789824953531,-2.222013455227831e-05
8.111377177077094e-07,0.002246218273822381,6.378356380504379e-05,-1.0959922853861126e-07,-0.00030550081133392745,-2.2428410010982837e-05
8.444511625876383e-07,0.0023269409746491175,6.412036681310389e-05,-9.548085620135332e-08,-0.00031576808444077676,-2.2598826207078426e-05
8.775320235052903e-07,0.0024097035765925775,6.440487204758872e-05,-8.022387759316584e-08,-0.0003260785178039052,-2.2729533160364804e-05
9.102970392982651e-07,0.002494549719602584,6.46363335700671e-05,-6.429644605233861e-08,-0.00033643001569562956,-2.2818799145383495e-05
9.426497348634697e-07,0.0025815046315666125,6.481535827601362e-05,-4.830777516050392e-08,-0.00034682089964200045,-2.2867010366701485e-05
9.744909117707952e-07,0.002670590837879096,6.494259088943003e-05,-3.3017579302103816e-08,-0.00035724991499949286,-2.2874731670206845e-05
1.0057209560358521e-06,0.0027618299150744944,6.50186997148384e-05,-1.9354063925842464e-08,-0.0003677159829818068,-2.2842667235639135e-05
1.036240317870032e-06,0.0028552427730029724,6.504437668920081e-05,-8.431825110341901e-09,-0.000378218151001994,-2.277165234938854e-05
1.068627928544606e-06,0.0029508497556092195,6.510236115491431e-05,-1.5702455215733051e-09,-0.0003887555714219964,-2.266264569206909e-05
1.1005532545793321e-06,0.0030486707110037336,6.512109423331099e-05,-3.12426963037365e-10,-0.0003993274842578613,-2.2516721447773114e-05
1.1316779555171431e-06,0.0031486986986001262,6.509594161376878e-05,-6.4402610860577796e-09,-0.0004099332331936255,-2.233757279099338e-05
1.1618964991809383e-06,0.0032509467205022458,6.502763994314731e-05,-2.1990340681798028e-08,-0.00042057219258213424,-2.2126704295181347e-05
1.1911070992337368e-06,0.003355431790674412,6.491678669364229e-05,-4.927742457185311e-08,-0.0004312434437800531,-2.188543711750474e-05
1.2192081719836462e-06,0.0034621710853238513,6.476399986097246e-05,-9.091373015699196e-08,-0.00044194602271840943,-2.1615154933426496e-05
1.2501290074702015e-06,0.003570951436160852,6.456678570959228e-05,-1.498285344680304e-07,-0.0004526789717368409,-2.1317300989614e-05
1.2872809283499614e-06,0.0036815901125123716,6.432332638384042e-05,-2.292877846238484e-07,-0.0004634413345199014,-2.099337061900131e-05
1.3236209416973482e-06,0.003794511264861715,6.403977601049419e-05,-3.328658943461444e-07,-0.000474229321336488,-2.064480835562783e-05
1.3590730828442738e-06,0.003909763422091555,6.371689965551931e-05,-4.6443180614880344e-07,-0.0004850367244741234,-2.0273023842203396e-05
1.3934909320754524e-06,0.004027363630014428,6.335543048838851e-05,-6.282986382494117e-07,-0.0004958624776213318,-1.9879632635343702e-05
1.426716623252587e-06,0.00414732533230615,6.295610907083567e-05,-8.291943208352695e-07,-0.0005067060552457769,-1.946628181384075e-05
1.5145271360935758e-06,0.004262881309449094,6.233742983786712e-05,-1.0722748779424566e-06,-0.0005175669000847323,-1.9034634297219655e-05
1.6760999909701523e-06,0.004371527217969923,6.144618138421298e-05,-1.3631411843951263e-06,-0.0005284443483958402,-1.8586361115381475e-05
1.8421570291359452e-06,0.004482090469884318,6.050986305159909e-05,-1.7060495317116553e-06,-0.0005392540185390535,-1.81176259355411e-05
2.0154727264724745e-06,0.004595155738404456,5.952342116790929e-05,-2.1042397304780904e-06,-0.0005498819828821406,-1.762319359594237e-05
