damp_x,damp_y,damp_tors,stiff_x,stiff_y,stiff_tors,damp_edge,stiff_edge,damp_flap,stiff_flap
-0.0004746076039747,-0.0175277220265335,-0.009284255981077,-0.0001193479116806,-0.0182009956841486,-0.0038958461431774,-0.0005428891377941716,-0.00019025510544171858,-0.017525740018648095,-0.018200392600525733
-0.0005246907588084,-0.0186987163747146,-0.0098777960170213,-0.0001384669394102,-0.0209895467728229,-0.0044859016319564,-0.0006085658005341138,-0.0002326222725363279,-0.01869617453172758,-0.020988714436576385
-0.0005746916735874,-0.0198473219142388,-0.0104531006807699,-0.0001586008213976,-0.0239565986369427,-0.0051119492592941,-0.0006761422253481125,-0.00028106313240375323,-0.019844124807564974,-0.023955474864584006
-0.0006241559080617,-0.0209743568955916,-0.0110100959263785,-0.0001795308869863,-0.0270987555996094,-0.0057728637044719,-0.0007452269389134793,-0.0003359644492098066,-0.02097040425434705,-0.027097267653319053
-0.0006726285354421,-0.0220805890166885,-0.011548718172748,-0.0002010082102141,-0.0304127433472607,-0.006467515408833,-0.0008154200220174192,-0.0003976975212428819,-0.02207577701142791,-0.030410807271240282
-0.0007196511509052,-0.023166740354542,-0.0120689149788079,-0.0002227542861299,-0.0338954016421831,-0.0071947712410595,-0.0008863104839472175,-0.0004666160777168031,-0.02316096306632799,-0.033892921700451176
-0.0007647593560536,-0.0242334916963456,-0.0125706456161642,-0.0002444615235457,-0.0375436777682932,-0.0079534952008739,-0.0009574740954176166,-0.0005430541042850996,-0.02422664277249588,-0.03754054600090076
-0.0008074806571516,-0.025281486336666,-0.0130538815491495,-0.0002657935796009,-0.0413546206231378,-0.0087425491551561,-0.0010284716200596325,-0.0006273236200756247,-0.0252734608340337,-0.04135071653776155
-0.0008473327247634,-0.0263113334005497,-0.0135186068311821,-0.0002863855582487,-0.0453253753787106,-0.0095607936010478,-0.0010988473938410546,-0.0007197124262417203,-0.02630202981646827,-0.04532056579448795
-0.0008838219705461,-0.0273236107461566,-0.0139648184254213,-0.0003058440920275,-0.0494531786423106,-0.0104070884511356,-0.0011681282095367547,-0.0008204818436241279,-0.027312933236274515,-0.0494473177025933
-0.0009164424036915,-0.0283188674949727,-0.0143925264568822,-0.0003237473241662,-0.053735354056373,-0.011280293836272,-0.0012358224698019882,-0.0009298644550581386,-0.02830672827615791,-0.05372828342678451
-0.0009446747351105,-0.0292976262326563,-0.0148017544024407,-0.0003396448061179,-0.0581693082830851,-0.0121792709220094,-0.0013014195777546252,-0.0010480618660856581,-0.029283948168001932,-0.058160857550862956
-0.0009679857021088,-0.0302603849190952,-0.0151925392245014,-0.0003530573239641,-0.0627525273257436,-0.0131028827350023,-0.0013643895384307838,-0.0011752424962985463,-0.030245104280837123,-0.06274251461582565
-0.0009858275901759,-0.0312076185422321,-0.0155649314535184,-0.0003634766657175,-0.0674825731442976,-0.0140499949960652,-0.0014241827481973474,-0.0013115394121950813,-0.03119068794712226,-0.06747080596696808
-0.000997637931734,-0.0321397805466172,-0.0159189952240371,-0.0003703653403548,-0.0723570805274157,-0.0150194769568829,-0.0014802299523110477,-0.0014570482112653944,-0.032121172057006715,-0.07234335687156289
-0.0010028393643816,-0.0330573040644172,-0.0162548082684582,-0.0003731562583702,-0.0773737541877913,-0.0160102022376372,-0.001531942353412842,-0.0016118249659801934,-0.03303701244701021,-0.07735786387294413
-0.0010008396334128,-0.0339606029737179,-0.0165724618723145,-0.000371252382754,-0.0825303660512964,-0.0170210496630652,-0.0015787118559282805,-0.0017758842354465548,-0.03393864910667863,-0.08251209235060623
-0.0009910317252606,-0.034850072806362,-0.0168720607944791,-0.0003640263585227,-0.0878247527140828,-0.0180509040946832,-0.0016199114331675803,-0.0019491971516739416,-0.03482650722420924,-0.08780387425930247
-0.0009727941200825,-0.0357260915252367,-0.017153723155396,-0.0003508201282477,-0.0932548130448338,-0.019098657257112,-0.0016548956054615233,-0.0021316895866587545,-0.03570099808975487,-0.0932311060231263
-0.0009454911530146,-0.0365890201888377,-0.0174175802961318,-0.0003309445404331,-0.0988185059121474,-0.0201632085566201,-0.0016830010189628525,-0.00232324040583458,-0.036562519873085494,-0.09879174656323599
-0.0009084734747152,-0.0374392035190596,-0.0176637766107852,-0.000303678957061,-0.1045138480195078,-0.0212434658901665,-0.0017035471158339923,-0.002523679812833221,-0.03741145829047512,-0.10448381544026825
-0.0008610863620503,-0.0382769705996557,-0.0178923864378186,-0.0002682710787647,-0.1103389118405493,-0.0223383438901235,-0.0017158445519464916,-0.0027327877210600263,-0.03824818721826397,-0.11030539110487682
-0.0008027222894365,-0.0391026368584598,-0.0181028542905578,-0.0002239384276393,-0.1162918237015418,-0.0234467423729064,-0.0017192471017383082,-0.002950291482182248,-0.03907306952060078,-0.11625460932117924
-0.000732692690287,-0.0399165024058944,-0.0182953349910314,-0.000169867827821,-0.1223707619783841,-0.0245675488172972,-0.0017130235645826046,-0.0031758638241815816,-0.03988645826800567,-0.12232966169829587
-0.0006502917466547,-0.0407188658782229,-0.0184700090872946,-0.00010521308467,-0.1285739563144237,-0.0256996610291009,-0.0016964228697672686,-0.0034091217138294883,-0.04068870933332001,-0.12852879522222563
-0.0005548023448564,-0.041510012661511,-0.0186270709214696,-2.9094467515032174e-05,-0.1348996869311397,-0.0268419883580852,-0.0016686799760793382,-0.0036496250145288327,-0.04148016952639048,-0.13485031189382127
-0.0004454976093052,-0.0422902134822802,-0.0187667279715737,5.940161233925327e-05,-0.1413462829200683,-0.027993452527232,-0.0016290175395675156,-0.0038968753655176497,-0.04226117516530405,-0.14129256734257878
-0.0003216419552297,-0.0430597244462632,-0.0188892005037436,0.0001612228703829,-0.1479121204283191,-0.0291529884310139,-0.0015766471245217562,-0.004150315193936806,-0.043032052086557734,-0.14785396932854555
-0.0001824921241291,-0.0438187872392324,-0.0189947212349278,0.000277351378828,-0.1545956208600768,-0.0303195449125742,-0.0015107703945921771,-0.004409326847407668,-0.04379311579811729,-0.15453297625313728
-2.729825608177755e-05,-0.0445676293346805,-0.0190835349857759,0.0004088037566578,-0.1613952491049634,-0.0314920855198322,-0.0014305803348309552,-0.004673231846697458,-0.04454467161865552,-0.16132809568786105
0.0001446949984326,-0.0453064641940114,-0.019155898322382,0.0005566313170535,-0.1683095117909984,-0.0326695892398679,-0.00133526250713293,-0.004941290259323089,-0.04528701478837895,-0.16823788291678088
0.0003343018297374,-0.0460354889831451,-0.0192112153361369,0.0007219215663069,-0.1753369554645706,-0.033851024610415,-0.0012239405599463757,-0.005212694133582574,-0.04602042995384069,-0.17526093957925257
0.0005423442763755,-0.0467548866986457,-0.0192489025952953,0.0009057996515198,-0.182476164775334,-0.0350353238538772,-0.001095726048878625,-0.005486559926850686,-0.046745191752127,-0.1823959123563152
0.000769605592421,-0.0474648449647836,-0.0192692262644174,0.0011094272245654,-0.1897257621034007,-0.0362214094230754,-0.0009497668787886775,-0.0057619323848179665,-0.047461581760143486,-0.1896414927426896
0.0010168774494941,-0.0481655551152472,-0.0192724792254391,0.0013340014822174,-0.1970844085342126,-0.0374082209855036,-0.0007852014935706662,-0.006037789520642524,-0.04816988891332115,-0.19699641810180052
0.0012849521861346,-0.0488571960738757,-0.0192589669826471,0.0015807553147783,-0.2045508035672422,-0.0385947166347134,-0.0006011662456802283,-0.006313042396695339,-0.04887039297434431,-0.20445947159050185
0.0015746204130679,-0.0495399324771136,-0.0192290068652335,0.0018509571662609,-0.2121236834058342,-0.0397798736431162,-0.000396797838027848,-0.006586535149492733,-0.04956336238349817,-0.21202948063610025
0.0018866695452084,-0.0502139147627823,-0.0191829275509494,0.002145910798829,-0.2198018190828823,-0.0409626891755621,-0.00017123489978693412,-0.006857045172621575,-0.05024905408448878,-0.2197053152220066
0.0022218824460515,-0.0508792795019588,-0.0191210686026752,0.0024669549924061,-0.2275840145919098,-0.0421421809739801,7.638054552151037e-05,-0.007123283432114139,-0.050927713577724874,-0.22748588615087956
0.0025809213030797,-0.0515361567699823,-0.0190448507002222,0.0028154601990214,-0.2354691053292303,-0.0433174209833072,0.0003467849481920771,-0.00738390566317883,-0.051599577029202384,-0.23537014321667415
0.0029645373766731,-0.0521846580648338,-0.0189547450785551,0.0031928278108968,-0.2434559563294045,-0.0444875394060563,0.0006408029184888165,-0.0076375154015561365,-0.05226486765333833,-0.24335707341309384
0.0033734729938159,-0.0528248616734596,-0.0188511215898546,0.0036004923119763,-0.2515434586650492,-0.0456516923442676,0.000959251535681987,-0.007882655180271501,-0.05292377695659521,-0.2514456976950945
0.0038084582784514,-0.0534568303076865,-0.0187343555595465,0.004039920626961,-0.2597305258527583,-0.0468090588461737,0.0013029364709907275,-0.008117806650693019,-0.053576481944562736,-0.2596350674188763
0.0042702120999099,-0.0540806155383354,-0.0186048293412989,0.0045126114507086,-0.2680160919233398,-0.0479588412911574,0.001672652669470948,-0.008341391578781703,-0.054223149313100336,-0.2679242623923683
0.0047594411245764,-0.054696258622978,-0.0184629319293018,0.0050200945954965,-0.2763991098676824,-0.0491002658106524,0.002069183284113344,-0.008551772905277755,-0.054863935948004594,-0.2763123892726699
0.0052766519196689,-0.0553036348990961,-0.0183090162399433,0.0055639248707297,-0.2848785376824782,-0.0502325813816838,0.0024931198233061856,-0.008747260323228222,-0.05549882379006336,-0.28479856728732317
0.0058221823162246,-0.055902487526999,-0.0181434071948402,0.006145671393222,-0.2934533145796665,-0.0513550578538866,0.0029448927264320753,-0.008926119504458947,-0.056127653838900525,-0.2933819038476271
0.0063966963439393,-0.0564928435029014,-0.0179665114843252,0.0067669221582102,-0.3021223730223649,-0.052466987605362,0.0034252443722106504,-0.009086568841728024,-0.05675056644783834,-0.3020615066221527
0.0070008694704445,-0.0570747519020576,-0.0177787443581442,0.007429293918461,-0.3108846630904319,-0.0535676883241448,0.003934926835691771,-0.009226772114058226,-0.057367724626495184,-0.31083650819897823
0.0076353609314828,-0.0576482523787709,-0.017580525430177,0.0081344321693778,-0.3197391534550906,-0.0546565034061562,0.004474675723466321,-0.0093448393472266,-0.05797928092043139,-0.3197060669059483
0.0083008096641612,-0.058213372239368,-0.0173722778762892,0.0088840101991894,-0.3286848295970674,-0.0557328021992729,0.005045206212718991,-0.009438828475280867,-0.05858537396681013,-0.3286693648052504
0.0089945860585819,-0.0587657174567598,-0.0171518206359659,0.0096796277375571,-0.337720343804866,-0.0567958999209744,0.005644225027569594,-0.00950680039122898,-0.059181541467007395,-0.33772525306695067
0.0097129034189439,-0.059299542304397,-0.0169161640454955,0.0105226735241023,-0.3468435583571377,-0.0578449525670548,0.006268391461705617,-0.009546888577898704,-0.059761889853145685,-0.34687178834609367
0.0104564824709019,-0.0598151880811183,-0.0166657061885099,0.0114144265472275,-0.3560519176636844,-0.0588790363309965,0.006918536660208079,-0.009557236273385976,-0.06032684809705536,-0.3561066082512424
0.0112265587695026,-0.0603135309621431,-0.0164008931276032,0.012356209507414,-0.3653429708037695,-0.0598972534000069,0.00759597105074075,-0.009535906887958924,-0.060877408475745735,-0.365427460255711
0.0120243789189737,-0.0607954235053836,-0.0161221809454294,0.0133494049146059,-0.3747144123262622,-0.0608987337409779,0.008302012400770173,-0.009480872422794953,-0.061414540604676555,-0.37483224310975816
0.0128510419292773,-0.0612608242964729,-0.0158293863976372,0.0143954490187047,-0.3841640113729938,-0.0618826157222886,0.00903788257172633,-0.009390009367551688,-0.06193831246305515,-0.3843189356650503
0.0137066519288569,-0.0617031015202574,-0.015517187748164,0.0154957771323426,-0.393689033307872,-0.0628478681979099,0.009804235163595645,-0.009261047297966986,-0.0624421493638307,-0.3938850175606668
0.0145922361227917,-0.0621228043325559,-0.015185927326715,0.0166518215717487,-0.4032862845815616,-0.0637933066913627,0.010602222329529653,-0.009091569452717295,-0.06292669588401696,-0.40352751313651974
0.015509396353408,-0.0625210237283753,-0.0148359665763457,0.0178650751634384,-0.4129527101614595,-0.0647177683973846,0.011433530791493377,-0.0088790504400613,-0.06339317121686804,-0.4132435894282845
0.0164597359415307,-0.0628988233257715,-0.0144676882318974,0.0191371089383815,-0.4226854346513451,-0.0656201134261219,0.01229984440862481,-0.008620843240929321,-0.06384276553028663,-0.42303059779019697
0.0174455229374065,-0.0632564760042735,-0.0140838096573485,0.0204695882257766,-0.4324817015286955,-0.0664992973488085,0.013203552149410889,-0.008314192242917014,-0.06427592269020022,-0.4328860131797242
0.0184690176620999,-0.0635940862140701,-0.0136873892501653,0.0218642884049844,-0.442338801675923,-0.0673544535892246,0.014147033007930339,-0.007956254288478494,-0.06469291979713135,-0.4428073628489537
0.019531611842894,-0.0639125037764983,-0.0132789754403513,0.0233230743542294,-0.4522541147485834,-0.0681848266358918,0.015131739499711357,-0.0075441007725627895,-0.06509471913969106,-0.45279226655044713
0.0206346344201556,-0.0642125494019638,-0.0128590906381016,0.0248478785036527,-0.4622251607822372,-0.0689896939516255,0.016159057010370934,-0.007074712968336755,-0.0654822457990614,-0.46283848669132194
0.0217786912652909,-0.0644938541245074,-0.0124298335545178,0.0264406761147636,-0.4722495035112112,-0.0697684137112135,0.0172297230822092,-0.006545024893939318,-0.06585518396886067,-0.47294382919024225
0.022963921360325,-0.0647554423244729,-0.0119940892447208,0.0281034477977362,-0.4823246078890912,-0.0705204975541461,0.01834404170887321,-0.005951990240590555,-0.06621257530608854,-0.48310599765026885
0.024190228427207,-0.0649957894823801,-0.0115518764076648,0.0298381571631448,-0.4924477483420788,-0.071245546534974,0.01950211640928141,-0.0052925742373818065,-0.066552890676192,-0.49332250012341594
0.0254574696501268,-0.0652134016217399,-0.011103171839509,0.03164674142818,-0.502615967228017,-0.071943161569529,0.020704004298693932,-0.004563719212839684,-0.06687461938631979,-0.5035906067655785
0.0267647611418974,-0.0654060252956953,-0.0106477191791542,0.0335310871733386,-0.5128260151839874,-0.0726129349650229,0.021949080703308775,-0.0037623597777099033,-0.06717543033165915,-0.513907287655484
0.028112236143651,-0.0655729881100167,-0.0101856584333709,0.0354930404747546,-0.5230744141985791,-0.0732544554457781,0.023237623138972315,-0.002885419137564911,-0.06745463261721828,-0.5242692753420993
0.0294978529471115,-0.0657094799379517,-0.0097178977196102,0.0375343660126005,-0.5333572562419654,-0.0738673440109199,0.02456804177464004,-0.00192985394977932,-0.06770724042201863,-0.5346728598700872
0.0309090613115424,-0.0658145286004772,-0.0092451123886128,0.0396564027954238,-0.5436701320942849,-0.0744512704191793,0.02592798677222466,-0.0008930025039151981,-0.06793130168047026,-0.5451137912038349
0.0322987609045099,-0.0658848324344549,-0.0087681727714041,0.0418588502772087,-0.5540080759578517,-0.0750059520253384,0.02727082655383942,0.00022620760852973265,-0.06811991720453942,-0.5555871312433076
0.0336651576268458,-0.0659185444775371,-0.0082881377741759,0.044140055691654,-0.5643655329822759,-0.0755311655910222,0.028595002357760906,0.0014275399383523318,-0.06827095417699286,-0.5660872383869425
0.0350073856335672,-0.0659141313268407,-0.0078060115301727,0.0464982715971358,-0.5747366644390663,-0.0760267514048589,0.02989985071655399,0.0027106747631351,-0.06838266362607612,-0.576608164141294
0.0363208746623267,-0.065864242491922,-0.0073249592181623,0.0489315606049728,-0.5851149152451357,-0.0764926781407584,0.031181446775906885,0.004075104790262518,-0.06844721873262957,-0.5871432152264973
0.0376051136622908,-0.0657686844907758,-0.0068477203643548,0.0514378112034513,-0.5954931184515229,-0.0769290962957243,0.03243935689589128,0.005520104062824785,-0.06846424291104092,-0.5976850600405342
0.038860240114527,-0.0656278436463154,-0.0063757729185709,0.054014896153192,-0.605864107126582,-0.0773362862351523,0.03367373243908017,0.007044859926298552,-0.06843399642754434,-0.6082263519935234
0.0400873227903278,-0.0654428223711536,-0.0059080865151855,0.0566607216651887,-0.6162208204926232,-0.0777145421068615,0.03488558787094636,0.008648576664513803,-0.06835753219138894,-0.6187598396065307
0.0412856062580402,-0.0652128357878528,-0.0054348617876603,0.0593731984633182,-0.6265562106948387,-0.0780638245796205,0.03607427923394049,0.01033066942306718,-0.06823387438317623,-0.6292782684356031
0.0424487514161761,-0.064929473849332,-0.0049514462619281,0.0621500019937083,-0.6368624836346491,-0.0783836493078603,0.03723421652216091,0.012090671401601326,-0.06805399467426024,-0.6397736017328085
