AOA	CL	CD	CM
-1.52589          0.162784          -0.0215883        -0.24741       
-1.27916          0.179064          -0.0188187        -0.247788      
-1.03486          0.194837          -0.0159881        -0.248055      
-0.79311          0.210646          -0.0131047        -0.248212      
-0.554095         0.225528          -0.0101466        -0.248037      
-0.31794          0.240276          -0.0071527        -0.247751      
-0.0848629        0.254603          -0.00413179       -0.247352      
0.145077          0.268527          -0.00109147       -0.246846      
0.371682          0.282437          0.00195972        -0.24623       
0.594812          0.295554          0.00501363        -0.245504      
0.814368          0.308756          0.00806295        -0.244667      
1.03017           0.32126           0.0111001         -0.243706      
1.24215           0.333593          0.0141167         -0.242641      
1.45011           0.345538          0.0171043         -0.241469      
1.65397           0.356954          0.0200558         -0.240194      
1.85357           0.368262          0.0229634         -0.238814      
2.04879           0.378845          0.0258198         -0.23733       
2.23954           0.389329          0.0286184         -0.235746      
2.42566           0.399078          0.0313502         -0.234005      
2.60708           0.408473          0.034011          -0.232167      
2.78365           0.417562          0.0365934         -0.230231      
2.95529           0.42601           0.0390919         -0.228198      
3.12189           0.434332          0.0415006         -0.226071      
3.28334           0.441931          0.0438134         -0.22385       
3.43956           0.449335          0.0460258         -0.221537      
3.59042           0.456167          0.0481318         -0.219132      
3.73587           0.462488          0.0501245         -0.216625      
3.8758            0.46852           0.0520021         -0.214029      
4.01013           0.473864          0.0537612         -0.211348      
4.13879           0.479042          0.0553981         -0.208583      
4.26166           0.483488          0.056909          -0.205736      
4.37873           0.487692          0.0582918         -0.202809      
4.48987           0.491341          0.0595429         -0.199802      
4.59506           0.494501          0.0606611         -0.19672       
4.6942            0.49735           0.0616439         -0.193562      
4.78725           0.499518          0.0624898         -0.190332      
4.87414           0.501392          0.0631955         -0.187024      
4.95483           0.502612          0.0637628         -0.183647      
5.02928           0.503552          0.0641919         -0.180205      
5.09741           0.503886          0.064482          -0.176698      
5.15922           0.503808          0.0646345         -0.173129      
5.21467           0.503313          0.0646501         -0.169501      
5.26363           0.502288          0.0645275         -0.165811      
5.30618           0.500627          0.0642711         -0.162068      
5.34226           0.498928          0.0638821         -0.158271      
5.37182           0.496292          0.0633618         -0.154422      
5.39488           0.493557          0.0627141         -0.150524      
5.41134           0.49012           0.0619398         -0.146577      
5.42126           0.486244          0.061044          -0.142586      
5.42458           0.482056          0.0600288         -0.138551      
5.42131           0.477109          0.0588987         -0.134475      
5.41144           0.472051          0.0576579         -0.13036       
5.39495           0.466194          0.0563104         -0.126207      
5.37189           0.460146          0.0548626         -0.122023      
5.34224           0.453539          0.053318          -0.117805      
5.30608           0.446451          0.0516845         -0.113562      
5.26341           0.439166          0.0499673         -0.109295      
5.2143            0.431192          0.0481737         -0.105009      
5.15883           0.423188          0.0463109         -0.100711      
5.09704           0.414533          0.0443852         -0.0964021     
5.02903           0.405708          0.042405          -0.092089      
4.95481           0.396482          0.0403756         -0.0877719     
4.87448           0.386774          0.0383051         -0.0834557     
4.78805           0.376903          0.0361989         -0.0791404     
4.69555           0.36633           0.0340635         -0.0748271     
4.59702           0.355619          0.0319059         -0.0705157     
4.49246           0.344249          0.0297311         -0.0662056     
4.38194           0.332575          0.027547          -0.0619007     
4.26546           0.320509          0.0253588         -0.0575994     
4.14309           0.3079            0.0231746         -0.0533054     
4.01488           0.295143          0.021001          -0.04902       
3.88089           0.281757          0.0188453         -0.0447452     
